127.0.0.1 - - [22/Oct/2018:17:35:22 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:35:23 +0200] "GET /Weekop/register.jsp HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:35:23 +0200] "GET /Weekop/resources/css/styles.css HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:35:23 +0200] "GET /Weekop/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:35:23 +0200] "GET /Weekop/resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:35:24 +0200] "GET /Weekop/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:36:07 +0200] "GET /Weekop/register.jsp HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:36:07 +0200] "GET /Weekop/resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:36:07 +0200] "GET /Weekop/resources/css/styles.css HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:36:07 +0200] "GET /Weekop/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:36:08 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:36:19 +0200] "POST /Weekop/register HTTP/1.1" 500 1784
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:59:48 +0200] "GET /Weekop/register.jsp HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:59:48 +0200] "GET /Weekop/resources/css/styles.css HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Oct/2018:17:59:48 +0200] "GET /Weekop/resources/css/styles.css HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Oct/2018:18:00:00 +0200] "GET /Weekop/register.jsp HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [22/Oct/2018:18:00:00 +0200] "GET /Weekop/resources/css/styles.css HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Oct/2018:18:00:11 +0200] "POST /Weekop/register HTTP/1.1" 500 5070
0:0:0:0:0:0:0:1 - - [22/Oct/2018:18:02:42 +0200] "POST /Weekop/register HTTP/1.1" 500 1784
0:0:0:0:0:0:0:1 - - [22/Oct/2018:18:12:18 +0200] "POST /Weekop/register HTTP/1.1" 500 1784
